"Computer",,"Υπολογιστής",,"None",,"All",,"Skype for Business for iOS",,""
"Confidential",,"Εμπιστευτικό",,"None",,"All",,"Skype for Business for iOS",,""
"Cool",,"Άνεση",,"None",,"All",,"Skype for Business for iOS",,""
"Crying",,"Κλάμα",,"None",,"All",,"Skype for Business for iOS",,""
"Dancing",,"Χορεύω",,"None",,"All",,"Skype for Business for iOS",,""
"Devil",,"Διαβολάκι",,"None",,"All",,"Skype for Business for iOS",,""
"Dog",,"Σκύλος",,"None",,"All",,"Skype for Business for iOS",,""
"Doh",,"Εννοείται",,"None",,"All",,"Skype for Business for iOS",,""
"Drink",,"Ποτό",,"None",,"All",,"Skype for Business for iOS",,""
"Dull",,"Βαριέμαι",,"None",,"All",,"Skype for Business for iOS",,""
"Evil",,"Σατανικό χαμόγελο",,"None",,"All",,"Skype for Business for iOS",,""
"Emo",,"Emo",,"None",,"All",,"Skype for Business for iOS",,""
"Envy",,"Ζήλια",,"None",,"All",,"Skype for Business for iOS",,""
"Face palm",,"Έλεος",,"None",,"All",,"Skype for Business for iOS",,""
"Fingers crossed",,"Ευχή για καλή τύχη",,"None",,"All",,"Skype for Business for iOS",,""
"Flower",,"Λουλούδι",,"None",,"All",,"Skype for Business for iOS",,""
"Games",,"Παιχνίδια",,"None",,"All",,"Skype for Business for iOS",,""
"Gift",,"Δώρο",,"None",,"All",,"Skype for Business for iOS",,""
"Giggle",,"Γελάκι",,"None",,"All",,"Skype for Business for iOS",,""
"Good luck",,"Καλή τύχη",,"None",,"All",,"Skype for Business for iOS",,""
"Gotta run",,"Πρέπει να φύγω",,"None",,"All",,"Skype for Business for iOS",,""
"Handshake",,"Χειραψία",,"None",,"All",,"Skype for Business for iOS",,""
"Happy",,"Ευτυχισμένος",,"None",,"All",,"Skype for Business for iOS",,""
"Banging head on wall",,"Χτυπάω το κεφάλι μου στον τοίχο",,"None",,"All",,"Skype for Business for iOS",,""
"Heart",,"Καρδιά",,"None",,"All",,"Skype for Business for iOS",,""
"Squirrel",,"Σκίουρος",,"None",,"All",,"Skype for Business for iOS",,""
"High five",,"Κόλλα το",,"None",,"All",,"Skype for Business for iOS",,""
"Waving",,"Γεια σου",,"None",,"All",,"Skype for Business for iOS",,""
"Hold on",,"Αναμονή",,"None",,"All",,"Skype for Business for iOS",,""
"Hug",,"Αγκαλιά",,"None",,"All",,"Skype for Business for iOS",,""
"Idea",,"Ιδέα",,"None",,"All",,"Skype for Business for iOS",,""
"In love",,"Ερωτευμένος",,"None",,"All",,"Skype for Business for iOS",,""
"Island",,"Νησί",,"None",,"All",,"Skype for Business for iOS",,""
"Kiss",,"Φιλί",,"None",,"All",,"Skype for Business for iOS",,""
"Not listening",,"Λα-λα-λα",,"None",,"All",,"Skype for Business for iOS",,""
"Lets meet",,"Να συναντηθούμε",,"None",,"All",,"Skype for Business for iOS",,""
"My lips are sealed",,"Τα χείλη μου είναι σφραγισμένα",,"None",,"All",,"Skype for Business for iOS",,""
"You have mail",,"Έχεις μήνυμα",,"None",,"All",,"Skype for Business for iOS",,""
"Makeup",,"Βάφομαι",,"None",,"All",,"Skype for Business for iOS",,""
"Man",,"Άνδρας",,"None",,"All",,"Skype for Business for iOS",,""
"mmm",,"μμμμμ…",,"None",,"All",,"Skype for Business for iOS",,""
"Movie",,"Ταινία",,"None",,"All",,"Skype for Business for iOS",,""
"Muscle",,"Μυώδης",,"None",,"All",,"Skype for Business for iOS",,""
"Music",,"Μουσική",,"None",,"All",,"Skype for Business for iOS",,""
"Ninja",,"Νίντζα",,"None",,"All",,"Skype for Business for iOS",,""
"Nod",,"Καταφατικό νεύμα",,"None",,"All",,"Skype for Business for iOS",,""
"No",,"Όχι",,"None",,"All",,"Skype for Business for iOS",,""
"Party",,"Πάρτι",,"None",,"All",,"Skype for Business for iOS",,""
"Phone",,"Τηλέφωνο",,"None",,"All",,"Skype for Business for iOS",,""
"Pizza",,"Πίτσα",,"None",,"All",,"Skype for Business for iOS",,""
"Plane",,"Αεροπλάνο",,"None",,"All",,"Skype for Business for iOS",,""
"Puking",,"Εμετός",,"None",,"All",,"Skype for Business for iOS",,""
"Punch",,"Γροθιά",,"None",,"All",,"Skype for Business for iOS",,""
"Rainbow",,"Ουράνιο τόξο",,"None",,"All",,"Skype for Business for iOS",,""
"Raining",,"Βρέχει",,"None",,"All",,"Skype for Business for iOS",,""
"Rock",,"Rock",,"None",,"All",,"Skype for Business for iOS",,""
"Rolling on the floor laughing",,"Πέφτω κάτω από τα γέλια",,"None",,"All",,"Skype for Business for iOS",,""
"Sad",,"Λυπημένος",,"None",,"All",,"Skype for Business for iOS",,""
"Shake",,"Άρνηση",,"None",,"All",,"Skype for Business for iOS",,""
"Sleepy",,"Νύστα",,"None",,"All",,"Skype for Business for iOS",,""
"Smile",,"Χαμόγελο",,"None",,"All",,"Skype for Business for iOS",,""
"Smirk",,"Αυτάρεσκο χαμόγελο",,"None",,"All",,"Skype for Business for iOS",,""
"Snail",,"Σαλιγκάρι",,"None",,"All",,"Skype for Business for iOS",,""
"Speechless",,"Άφωνος",,"None",,"All",,"Skype for Business for iOS",,""
"Star",,"Αστέρι",,"None",,"All",,"Skype for Business for iOS",,""
"Stop",,"Στοπ",,"None",,"All",,"Skype for Business for iOS",,""
"Surprised",,"Έκπληξη",,"None",,"All",,"Skype for Business for iOS",,""
"Swear",,"Βρισιές",,"None",,"All",,"Skype for Business for iOS",,""
"Sweating",,"Ιδρώτας",,"None",,"All",,"Skype for Business for iOS",,""
"Talk to the hand",,"Μίλα στο χέρι",,"None",,"All",,"Skype for Business for iOS",,""
"Talking",,"Μιλάω",,"None",,"All",,"Skype for Business for iOS",,""
"Thinking",,"Σκέφτομαι",,"None",,"All",,"Skype for Business for iOS",,""
"Time",,"Ώρα",,"None",,"All",,"Skype for Business for iOS",,""
"Too much information",,"Πάρα πολλές πληροφορίες",,"None",,"All",,"Skype for Business for iOS",,""
"Smiley with tongue out",,"Ο Γελαστούλης κοροϊδεύει",,"None",,"All",,"Skype for Business for iOS",,""
"Tumbleweed",,"Κινούμενος θάμνος",,"None",,"All",,"Skype for Business for iOS",,""
"Umbrella",,"Ομπρέλα",,"None",,"All",,"Skype for Business for iOS",,""
"Waiting",,"Αναμονή",,"None",,"All",,"Skype for Business for iOS",,""
"Wait",,"Περίμενε",,"None",,"All",,"Skype for Business for iOS",,""
"It wasn't me!",,"Δεν ήμουν εγώ!",,"None",,"All",,"Skype for Business for iOS",,""
"Working from home",,"Εργασία από το σπίτι",,"None",,"All",,"Skype for Business for iOS",,""
"What's going on",,"Τι γίνεται;",,"None",,"All",,"Skype for Business for iOS",,""
"Whew",,"Ανακούφιση",,"None",,"All",,"Skype for Business for iOS",,""
"Wink",,"Νεύμα",,"None",,"All",,"Skype for Business for iOS",,""
"Woman",,"Γυναίκα",,"None",,"All",,"Skype for Business for iOS",,""
"Wondering",,"Αναρωτιέμαι",,"None",,"All",,"Skype for Business for iOS",,""
"Worried",,"Ανήσυχος",,"None",,"All",,"Skype for Business for iOS",,""
"Yawning",,"Χασμουρητό",,"None",,"All",,"Skype for Business for iOS",,""
"Yes",,"Ναι",,"None",,"All",,"Skype for Business for iOS",,""
"%d new notifications",,"%d νέες ειδοποιήσεις",,"None",,"All",,"Skype for Business for iOS",,""
"One new notification",,"Μία νέα ειδοποίηση",,"None",,"All",,"Skype for Business for iOS",,""
"No new notification",,"Καμία νέα ειδοποίηση",,"None",,"All",,"Skype for Business for iOS",,""
"Ignore",,"Παράβλεψη",,"None",,"All",,"Skype for Business for iOS",,""
"...\n\n[This message was truncated because it exceeds the limit of 8000 characters]",,"...\n\n[Το μήνυμα περικόπηκε επειδή υπερβαίνει το όριο των 8.000 χαρακτήρων]",,"None",,"All",,"Skype for Business for iOS",,""
"The message is too long. Please shorten your message and try sending again.",,"Το μήνυμα είναι πολύ μεγάλο. Συντομεύστε το μήνυμά σας και δοκιμάστε να το στείλετε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"Invite participants",,"Πρόσκληση συμμετεχόντων",,"None",,"All",,"Skype for Business for iOS",,""
"Accept",,"Αποδοχή",,"None",,"All",,"Skype for Business for iOS",,""
"Join",,"Συμμετοχή",,"None",,"All",,"Skype for Business for iOS",,""
"Show keyboard",,"Εμφάνιση πληκτρολογίου",,"None",,"All",,"Skype for Business for iOS",,""
"Launch",,"Εκκίνηση",,"None",,"All",,"Skype for Business for iOS",,""
"You have 1 new voice mail",,"Έχετε 1 νέο μήνυμα τηλεφωνητή",,"None",,"All",,"Skype for Business for iOS",,""
"1 or more participants",,"1 ή περισσότεροι συμμετέχοντες",,"None",,"All",,"Skype for Business for iOS",,""
"You can't make a Skype for Business call because you're not connected to Wi-Fi.",,"Δεν μπορείτε να πραγματοποιήσετε κλήση Skype για επιχειρήσεις, επειδή δεν είστε συνδεδεμένοι σε Wi-Fi.",,"None",,"All",,"Skype for Business for iOS",,""
"© 2003-2016 Skype & Microsoft\nPatent Pending",,"© 2003-2016 Skype & Microsoft\nΕκκρεμούν διπλώματα ευρεσιτεχνίας",,"None",,"All",,"Skype for Business for iOS",,""
"The Skype name, associated trade marks and logos and the “S” logo are trade marks of Skype or related entities.\n\nWarning: This program is protected by copyright law and international treaties. Unauthorised reproduction or distribution of this program, or any portion of it, may result in severe criminal and civil penalties and will be prosecuted to the maximum extent possible under the law.",,"Η επωνυμία Skype, τα σχετιζόμενα εμπορικά σήματα και λογότυπα και το λογότυπο “S” είναι εμπορικά σήματα της Skype ή σχετιζόμενων οντοτήτων.\n\nΠροσοχή: Αυτό το πρόγραμμα προστατεύεται από τους νόμους και τις διεθνείς συμβάσεις περί πνευματικής ιδιοκτησίας. Η μη εξουσιοδοτημένη αναπαραγωγή ή διανομή αυτού του προγράμματος, ή οποιουδήποτε τμήματος αυτού, μπορεί να οδηγήσει σε σοβαρές ποινικές και αστικές κυρώσεις και θα διώκεται στο μέγιστο δυνατό βαθμό, σύμφωνα με το νόμο.",,"None",,"All",,"Skype for Business for iOS",,""
"admit",,"αποδοχή",,"None",,"All",,"Skype for Business for iOS",,""
"admit %@",,"αποδοχή %@",,"None",,"All",,"Skype for Business for iOS",,""
"Allow %@ to join the meeting.",,"Να επιτρέπεται στο χρήστη %@ η συμμετοχή στη σύσκεψη.",,"None",,"All",,"Skype for Business for iOS",,""
"call",,"κλήση",,"None",,"All",,"Skype for Business for iOS",,""
"video call",,"κλήση βίντεο",,"None",,"All",,"Skype for Business for iOS",,""
"dismiss %@",,"απόρριψη %@",,"None",,"All",,"Skype for Business for iOS",,""
"Deny %@ from joining the meeting.",,"Να μην επιτρέπεται στο χρήστη %@ η συμμετοχή στη σύσκεψη.",,"None",,"All",,"Skype for Business for iOS",,""
"Empty chat",,"Κενή συνομιλία",,"None",,"All",,"Skype for Business for iOS",,""
"Join meeting",,"Συμμετοχή σε σύσκεψη",,"None",,"All",,"Skype for Business for iOS",,""
"Profile picture",,"Εικόνα προφίλ",,"None",,"All",,"Skype for Business for iOS",,""
"available",,"διαθέσιμος-η",,"None",,"All",,"Skype for Business for iOS",,""
"away",,"λείπω",,"None",,"All",,"Skype for Business for iOS",,""
"busy",,"απασχολημένος-η",,"None",,"All",,"Skype for Business for iOS",,""
"do not disturb",,"μην ενοχλείτε",,"None",,"All",,"Skype for Business for iOS",,""
"offline",,"εκτός σύνδεσης",,"None",,"All",,"Skype for Business for iOS",,""
"presence unknown",,"άγνωστη παρουσία",,"None",,"All",,"Skype for Business for iOS",,""
"%@, new messages, %@, %@",,"%@, νέα μηνύματα, %@, %@",,"None",,"All",,"Skype for Business for iOS",,""
"Search for contacts",,"Αναζήτηση επαφών",,"None",,"All",,"Skype for Business for iOS",,""
"clear text",,"απαλοιφή κειμένου",,"None",,"All",,"Skype for Business for iOS",,""
"contacts",,"επαφές",,"None",,"All",,"Skype for Business for iOS",,""
"dialpad and voice mail",,"πληκτρολόγιο κλήσης και φωνητικό ταχυδρομείο",,"None",,"All",,"Skype for Business for iOS",,""
"dialpad, %ld new voice mail",,"πληκτρολόγιο κλήσης, %ld νέο μήνυμα φωνητικού ταχυδρομείου",,"None",,"All",,"Skype for Business for iOS",,""
"dialpad, %ld new voice mails",,"πληκτρολόγιο κλήσης, %ld νέα μηνύματα φωνητικού ταχυδρομείου",,"None",,"All",,"Skype for Business for iOS",,""
"home",,"οικία",,"None",,"All",,"Skype for Business for iOS",,""
"meetings",,"συσκέψεις",,"None",,"All",,"Skype for Business for iOS",,""
"my info",,"κατάσταση",,"None",,"All",,"Skype for Business for iOS",,""
"delete",,"διαγραφή",,"None",,"All",,"Skype for Business for iOS",,""
"join meeting",,"συμμετοχή σε σύσκεψη",,"None",,"All",,"Skype for Business for iOS",,""
"mark as read",,"σήμανση ως αναγνωσμένου",,"None",,"All",,"Skype for Business for iOS",,""
"%ld new voice mail",,"%ld νέο μήνυμα φωνητικού ταχυδρομείου",,"None",,"All",,"Skype for Business for iOS",,""
"%ld new voice mails",,"%ld νέα μηνύματα φωνητικού ταχυδρομείου",,"None",,"All",,"Skype for Business for iOS",,""
"Currently muted, double-tap to unmute",,"Αυτήν τη στιγμή είναι σε σίγαση, πατήστε δύο φορές για κατάργηση σίγασης",,"None",,"All",,"Skype for Business for iOS",,""
"Poor network connection",,"Κακή ποιότητα δικτύου",,"None",,"All",,"Skype for Business for iOS",,""
"Call me back for better connection",,"Επιστροφή κλήσης για καλύτερη σύνδεση",,"None",,"All",,"Skype for Business for iOS",,""
"Currently unmuted, double-tap to mute",,"Αυτήν τη στιγμή είναι σε κατάργηση σίγασης, πατήστε δύο φορές για σίγαση",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to expand",,"Διπλό κτύπημα για ανάπτυξη",,"None",,"All",,"Skype for Business for iOS",,""
"%1$02ld:%2$02ld:%3$02ld",,"%1$02ld:%2$02ld:%3$02ld",,"None",,"All",,"Skype for Business for iOS",,""
"%1$02ld:%2$02ld",,"%1$02ld:%2$02ld",,"None",,"All",,"Skype for Business for iOS",,""
"About",,"Πληροφορίες",,"None",,"All",,"Skype for Business for iOS",,""
"Version %@",,"Έκδοση %@",,"None",,"All",,"Skype for Business for iOS",,""
"Accepted",,"Αποδοχή",,"None",,"All",,"Skype for Business for iOS",,""
"The access to the distribution group was denied",,"Η πρόσβαση στην ομάδα διανομής απορρίφθηκε",,"None",,"All",,"Skype for Business for iOS",,""
"Please Try Again",,"Δοκιμάστε ξανά",,"None",,"All",,"Skype for Business for iOS",,""
"Oregon Speakerphone Update Failed",,""Η ενημέρωση του ""Oregon Speakerphone"" απέτυχε"",,"None",,"All",,"Skype for Business for iOS",,""
"Would you like to update Oregon Speakerphone?",,"Θέλετε να ενημερώσετε το μεγάφωνο Oregon;",,"None",,"All",,"Skype for Business for iOS",,""
"Accessory Update Available",,"Διαθέσιμη ενημέρωση αξεσουάρ",,"None",,"All",,"Skype for Business for iOS",,""
"Add",,"Προσθήκη",,"None",,"All",,"Skype for Business for iOS",,""
"Add Contact",,"Προσθήκη επαφής",,"None",,"All",,"Skype for Business for iOS",,""
"Added to group, %@",,"Προστέθηκε στην ομάδα, %@",,"None",,"All",,"Skype for Business for iOS",,""
"Add to Group",,"Προσθήκη σε ομάδα",,"None",,"All",,"Skype for Business for iOS",,""
"Add to favorites",,"Προσθήκη στα αγαπημένα",,"None",,"All",,"Skype for Business for iOS",,""
"Admit",,"Αποδοχή",,"None",,"All",,"Skype for Business for iOS",,""
"Admit all",,"Αποδοχή όλων",,"None",,"All",,"Skype for Business for iOS",,""
"You’ve been admitted. We’re calling you now...",,"Έχετε γίνει δεκτοί. Σας καλούμε αυτήν τη στιγμή...",,"None",,"All",,"Skype for Business for iOS",,""
"Advanced options",,"Επιλογές για προχωρημένους",,"None",,"All",,"Skype for Business for iOS",,""
"All",,"Όλες",,"None",,"All",,"Skype for Business for iOS",,""
"All the Time",,"Συνεχώς",,"None",,"All",,"Skype for Business for iOS",,""
"Allow incoming cellular call when Wi-Fi is not available",,"Να επιτρέπονται οι εισερχόμενες κλήσεις από κινητά, όταν δεν υπάρχει διαθέσιμο Wi-Fi",,"None",,"All",,"Skype for Business for iOS",,""
"Also ringing %@",,"Κλήση επίσης στο %@",,"None",,"All",,"Skype for Business for iOS",,""
"Also ringing your delegates",,"Κλήση επίσης στους πληρεξουσίους σας",,"None",,"All",,"Skype for Business for iOS",,""
"Also ringing your team",,"Κλήση επίσης στην ομάδα σας",,"None",,"All",,"Skype for Business for iOS",,""
"Anonymous",,"Ανώνυμος",,"None",,"All",,"Skype for Business for iOS",,""
"Anonymous Join",,"Ανώνυμη συμμετοχή",,"None",,"All",,"Skype for Business for iOS",,""
"Go back",,"Επιστροφή",,"None",,"All",,"Skype for Business for iOS",,""
"Joining...",,"Σύνδεση...",,"None",,"All",,"Skype for Business for iOS",,""
"Welcome to Skype for Business, the app formerly known as Lync.",,"Καλώς ορίσατε στο Skype για επιχειρήσεις, την εφαρμογή που ήταν παλιότερα γνωστή ως Lync.",,"None",,"All",,"Skype for Business for iOS",,""
"Video",,"Βίντεο",,"None",,"All",,"Skype for Business for iOS",,""
"Answer incoming call",,"Απάντηση εισερχόμενης κλήσης",,"None",,"All",,"Skype for Business for iOS",,""
"Answer incoming call to listen to the voicemail.",,"Απαντήστε στην εισερχόμενη κλήση, για να ακούσετε τα μηνύματα φωνητικού ταχυδρομείου.",,"None",,"All",,"Skype for Business for iOS",,""
"All resources are minimized.",,"Όλοι οι πόροι είναι ελαχιστοποιημένοι.",,"None",,"All",,"Skype for Business for iOS",,""
"Application",,"Εφαρμογή",,"None",,"All",,"Skype for Business for iOS",,""
"Desktop",,"Επιφάνεια εργασίας",,"None",,"All",,"Skype for Business for iOS",,""
"Content sharing is loading.",,"Η κοινή χρήση περιεχομένου φορτώνεται.",,"None",,"All",,"Skype for Business for iOS",,""
"The resolution of the shared desktop is too high to be displayed on a mobile device",,"Η ανάλυση της επιφάνειας εργασίας σε κοινή χρήση είναι υπερβολικά υψηλή για να εμφανιστεί σε κινητή συσκευή",,"None",,"All",,"Skype for Business for iOS",,""
"Shared content.",,"Κοινόχρηστο περιεχόμενο.",,"None",,"All",,"Skype for Business for iOS",,""
"Sharing is currently idle.",,"Η κοινή χρήση είναι επί του παρόντος αδρανής.",,"None",,"All",,"Skype for Business for iOS",,""
"Sharing is currently paused.",,"Υπάρχει παύση της κοινής χρήσης αυτήν τη στιγμή.",,"None",,"All",,"Skype for Business for iOS",,""
"Screen presentation from %@ is only supported in conferences.",,"Η παρουσίαση οθόνης από το χρήστη %@ υποστηρίζεται μόνο σε κλήσεις διάσκεψης.",,"None",,"All",,"Skype for Business for iOS",,""
"Appear Away",,"Εμφάνιση ότι λείπω",,"None",,"All",,"Skype for Business for iOS",,""
"Apply Settings",,"Εφαρμογή ρυθμίσεων",,"None",,"All",,"Skype for Business for iOS",,""
"ATTENDEES (%d)",,"ΠΑΡΕΥΡΙΣΚΟΜΕΝΟΙ (%d)",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter muted the audience.",,"Ένας παρουσιαστής έθεσε σε σίγαση το ακροατήριο.",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter unmuted the audience.",,"Ένας παρουσιαστής κατάργησε τη σίγαση του ακροατηρίου.",,"None",,"All",,"Skype for Business for iOS",,""
"Audio",,"Ήχος",,"None",,"All",,"Skype for Business for iOS",,""
"Call from %@",,"Κλήση από %@",,"None",,"All",,"Skype for Business for iOS",,""
"Call me at:",,"Κλήση προς εμένα στο:",,"None",,"All",,"Skype for Business for iOS",,""
"Don't show this again",,"Να μην εμφανιστεί ξανά",,"None",,"All",,"Skype for Business for iOS",,""
"Show meeting audio options before joining a meeting.",,"Εμφάνιση των επιλογών ήχου σύσκεψης πριν από τη συμμετοχή σε μια σύσκεψη.",,"None",,"All",,"Skype for Business for iOS",,""
"Audio Options Prompt",,"Προτροπή επιλογών ήχου",,"None",,"All",,"Skype for Business for iOS",,""
"Meeting Join Audio Option",,"Επιλογή ήχου συμμετοχής σε σύσκεψη",,"None",,"All",,"Skype for Business for iOS",,""
"Use Skype For Business (full audio and video experience)",,"Χρήση του Skype για επιχειρήσεις (ολοκληρωμένη εμπειρία ήχου και βίντεο)",,"None",,"All",,"Skype for Business for iOS",,""
"Use Skype For Business (disabled due to 'Voice Settings')",,"Χρήση του Skype για επιχειρήσεις (απενεργοποιημένο εξαιτίας των Ρυθμίσεων φωνής)",,"None",,"All",,"Skype for Business for iOS",,""
"Conference call from %@",,"Κλήση διάσκεψης από %@",,"None",,"All",,"Skype for Business for iOS",,""
