"Add contact",,"Kontakt hinzufügen",,"None",,"All",,"Skype for Business for iOS",,""
"Manage contact",,"Kontakt verwalten",,"None",,"All",,"Skype for Business for iOS",,""
"%lu participants",,"%lu Teilnehmer",,"None",,"All",,"Skype for Business for iOS",,""
"Copy",,"Kopieren",,"None",,"All",,"Skype for Business for iOS",,""
"dismiss",,"Schließen",,"None",,"All",,"Skype for Business for iOS",,""
"add participants",,"Teilnehmer hinzufügen",,"None",,"All",,"Skype for Business for iOS",,""
"Preview feedback",,"Vorschau-Feedback",,"None",,"All",,"Skype for Business for iOS",,""
"Send email",,"E-Mail senden",,"None",,"All",,"Skype for Business for iOS",,""
"See contact card",,"Visitenkarte anzeigen",,"None",,"All",,"Skype for Business for iOS",,""
"Backspace",,"Rücktaste",,"None",,"All",,"Skype for Business for iOS",,""
"Show emoticons",,"Emoticons anzeigen",,"None",,"All",,"Skype for Business for iOS",,""
"emoticons",,"Emoticons",,"None",,"All",,"Skype for Business for iOS",,""
"Emoticon: %@",,"Emoticon: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Angel",,"Engel",,"None",,"All",,"Skype for Business for iOS",,""
"Angry",,"Wütend",,"None",,"All",,"Skype for Business for iOS",,""
"Bandit",,"Schurke",,"None",,"All",,"Skype for Business for iOS",,""
"Soccer",,"Fußball",,"None",,"All",,"Skype for Business for iOS",,""
"Beer",,"Bier",,"None",,"All",,"Skype for Business for iOS",,""
"Bike",,"Fahrrad",,"None",,"All",,"Skype for Business for iOS",,""
"Blushing",,"Verlegen",,"None",,"All",,"Skype for Business for iOS",,""
"Bowing",,"Verbeugen",,"None",,"All",,"Skype for Business for iOS",,""
"Broken heart",,"Gebrochenes Herz",,"None",,"All",,"Skype for Business for iOS",,""
"Cake",,"Torte",,"None",,"All",,"Skype for Business for iOS",,""
"Call",,"Anruf",,"None",,"All",,"Skype for Business for iOS",,""
"Camera",,"Kamera",,"None",,"All",,"Skype for Business for iOS",,""
"Can you talk?",,"Kannst du reden?",,"None",,"All",,"Skype for Business for iOS",,""
"Car",,"Auto",,"None",,"All",,"Skype for Business for iOS",,""
"Cash",,"Kohle",,"None",,"All",,"Skype for Business for iOS",,""
"Cat",,"Katze",,"None",,"All",,"Skype for Business for iOS",,""
"Clapping",,"Beifall",,"None",,"All",,"Skype for Business for iOS",,""
"Coffee",,"Kaffee",,"None",,"All",,"Skype for Business for iOS",,""
"Computer",,"Computer",,"None",,"All",,"Skype for Business for iOS",,""
"Confidential",,"Vertraulich",,"None",,"All",,"Skype for Business for iOS",,""
"Cool",,"Cool",,"None",,"All",,"Skype for Business for iOS",,""
"Crying",,"Weinen",,"None",,"All",,"Skype for Business for iOS",,""
"Dancing",,"Tanzen",,"None",,"All",,"Skype for Business for iOS",,""
"Devil",,"Teufel",,"None",,"All",,"Skype for Business for iOS",,""
"Dog",,"Hund",,"None",,"All",,"Skype for Business for iOS",,""
"Doh",,"Doh",,"None",,"All",,"Skype for Business for iOS",,""
"Drink",,"Cocktail",,"None",,"All",,"Skype for Business for iOS",,""
"Dull",,"Langweilig",,"None",,"All",,"Skype for Business for iOS",,""
"Evil",,"Teuflisch",,"None",,"All",,"Skype for Business for iOS",,""
"Emo",,"Emo",,"None",,"All",,"Skype for Business for iOS",,""
"Envy",,"Neidisch",,"None",,"All",,"Skype for Business for iOS",,""
"Face palm",,"Fremdschämen",,"None",,"All",,"Skype for Business for iOS",,""
"Fingers crossed",,"Daumen drücken",,"None",,"All",,"Skype for Business for iOS",,""
"Flower",,"Blume",,"None",,"All",,"Skype for Business for iOS",,""
"Games",,"Spiele",,"None",,"All",,"Skype for Business for iOS",,""
"Gift",,"Geschenk",,"None",,"All",,"Skype for Business for iOS",,""
"Giggle",,"Kichern",,"None",,"All",,"Skype for Business for iOS",,""
"Good luck",,"Viel Glück",,"None",,"All",,"Skype for Business for iOS",,""
"Gotta run",,"Muss los",,"None",,"All",,"Skype for Business for iOS",,""
"Handshake",,"Händeschütteln",,"None",,"All",,"Skype for Business for iOS",,""
"Happy",,"Fröhlich",,"None",,"All",,"Skype for Business for iOS",,""
"Banging head on wall",,"Kopf gegen die Wand schlagen",,"None",,"All",,"Skype for Business for iOS",,""
"Heart",,"Herz",,"None",,"All",,"Skype for Business for iOS",,""
"Squirrel",,"Eichhörnchen",,"None",,"All",,"Skype for Business for iOS",,""
"High five",,"Abklatschen",,"None",,"All",,"Skype for Business for iOS",,""
"Waving",,"Winken",,"None",,"All",,"Skype for Business for iOS",,""
"Hold on",,"Moment",,"None",,"All",,"Skype for Business for iOS",,""
"Hug",,"Umarmen",,"None",,"All",,"Skype for Business for iOS",,""
"Idea",,"Idee",,"None",,"All",,"Skype for Business for iOS",,""
"In love",,"Verliebt",,"None",,"All",,"Skype for Business for iOS",,""
"Island",,"Insel",,"None",,"All",,"Skype for Business for iOS",,""
"Kiss",,"Kuss",,"None",,"All",,"Skype for Business for iOS",,""
"Not listening",,"Ich höre gar nicht zu",,"None",,"All",,"Skype for Business for iOS",,""
"Lets meet",,"Treffen wir uns",,"None",,"All",,"Skype for Business for iOS",,""
"My lips are sealed",,"Ich sage nichts",,"None",,"All",,"Skype for Business for iOS",,""
"You have mail",,"Neue Nachricht",,"None",,"All",,"Skype for Business for iOS",,""
"Makeup",,"Schminken",,"None",,"All",,"Skype for Business for iOS",,""
"Man",,"Mann",,"None",,"All",,"Skype for Business for iOS",,""
"mmm",,"Mmm",,"None",,"All",,"Skype for Business for iOS",,""
"Movie",,"Film",,"None",,"All",,"Skype for Business for iOS",,""
"Muscle",,"Muskeln",,"None",,"All",,"Skype for Business for iOS",,""
"Music",,"Musik",,"None",,"All",,"Skype for Business for iOS",,""
"Ninja",,"Ninja",,"None",,"All",,"Skype for Business for iOS",,""
"Nod",,"Nicken",,"None",,"All",,"Skype for Business for iOS",,""
"No",,"Nein",,"None",,"All",,"Skype for Business for iOS",,""
"Party",,"Party",,"None",,"All",,"Skype for Business for iOS",,""
"Phone",,"Telefon",,"None",,"All",,"Skype for Business for iOS",,""
"Pizza",,"Pizza",,"None",,"All",,"Skype for Business for iOS",,""
"Plane",,"Flugzeug",,"None",,"All",,"Skype for Business for iOS",,""
"Puking",,"Übergeben",,"None",,"All",,"Skype for Business for iOS",,""
"Punch",,"Fausthieb",,"None",,"All",,"Skype for Business for iOS",,""
"Rainbow",,"Regenbogen",,"None",,"All",,"Skype for Business for iOS",,""
"Raining",,"Regen",,"None",,"All",,"Skype for Business for iOS",,""
"Rock",,"Abrocken",,"None",,"All",,"Skype for Business for iOS",,""
"Rolling on the floor laughing",,"Lachend über den Boden rollen",,"None",,"All",,"Skype for Business for iOS",,""
"Sad",,"Traurig",,"None",,"All",,"Skype for Business for iOS",,""
"Shake",,"Kopfschütteln",,"None",,"All",,"Skype for Business for iOS",,""
"Sleepy",,"Schläfrig",,"None",,"All",,"Skype for Business for iOS",,""
"Smile",,"Lächeln",,"None",,"All",,"Skype for Business for iOS",,""
"Smirk",,"Schmunzeln",,"None",,"All",,"Skype for Business for iOS",,""
"Snail",,"Schnecke",,"None",,"All",,"Skype for Business for iOS",,""
"Speechless",,"Sprachlos",,"None",,"All",,"Skype for Business for iOS",,""
"Star",,"Stern",,"None",,"All",,"Skype for Business for iOS",,""
"Stop",,"Stopp",,"None",,"All",,"Skype for Business for iOS",,""
"Surprised",,"Überrascht",,"None",,"All",,"Skype for Business for iOS",,""
"Swear",,"Fluchen",,"None",,"All",,"Skype for Business for iOS",,""
"Sweating",,"Schwitzen",,"None",,"All",,"Skype for Business for iOS",,""
"Talk to the hand",,"Kein Interesse",,"None",,"All",,"Skype for Business for iOS",,""
"Talking",,"Sprechen",,"None",,"All",,"Skype for Business for iOS",,""
"Thinking",,"Denken",,"None",,"All",,"Skype for Business for iOS",,""
"Time",,"Zeit",,"None",,"All",,"Skype for Business for iOS",,""
"Too much information",,"Das ist zu viel",,"None",,"All",,"Skype for Business for iOS",,""
"Smiley with tongue out",,"Smiley mit herausgestreckter Zunge",,"None",,"All",,"Skype for Business for iOS",,""
"Tumbleweed",,"Steppenläufer",,"None",,"All",,"Skype for Business for iOS",,""
"Umbrella",,"Regenschirm",,"None",,"All",,"Skype for Business for iOS",,""
"Waiting",,"Warten",,"None",,"All",,"Skype for Business for iOS",,""
"Wait",,"Warte",,"None",,"All",,"Skype for Business for iOS",,""
"It wasn't me!",,"Ich war's nicht!",,"None",,"All",,"Skype for Business for iOS",,""
"Working from home",,"Arbeite von zu Hause",,"None",,"All",,"Skype for Business for iOS",,""
"What's going on",,"Was ist los?",,"None",,"All",,"Skype for Business for iOS",,""
"Whew",,"Puh",,"None",,"All",,"Skype for Business for iOS",,""
"Wink",,"Zwinkern",,"None",,"All",,"Skype for Business for iOS",,""
"Woman",,"Frau",,"None",,"All",,"Skype for Business for iOS",,""
"Wondering",,"Fragend",,"None",,"All",,"Skype for Business for iOS",,""
"Worried",,"Besorgt",,"None",,"All",,"Skype for Business for iOS",,""
"Yawning",,"Gähnen",,"None",,"All",,"Skype for Business for iOS",,""
"Yes",,"Ja",,"None",,"All",,"Skype for Business for iOS",,""
"%d new notifications",,"%d neue Benachrichtigungen",,"None",,"All",,"Skype for Business for iOS",,""
"One new notification",,"Eine neue Benachrichtigung",,"None",,"All",,"Skype for Business for iOS",,""
"No new notification",,"Keine neuen Benachrichtigungen",,"None",,"All",,"Skype for Business for iOS",,""
"Ignore",,"Ignorieren",,"None",,"All",,"Skype for Business for iOS",,""
"...\n\n[This message was truncated because it exceeds the limit of 8000 characters]",,"...\n\n[Diese Nachricht wurde abgeschnitten, da sie die Begrenzung von 8000 Zeichen überschreitet]",,"None",,"All",,"Skype for Business for iOS",,""
"The message is too long. Please shorten your message and try sending again.",,"Die Nachricht ist zu lang. Kürzen Sie Ihre Nachricht und versuchen Sie, diese erneut zu senden.",,"None",,"All",,"Skype for Business for iOS",,""
"Invite participants",,"Teilnehmer einladen",,"None",,"All",,"Skype for Business for iOS",,""
"Accept",,"Annehmen",,"None",,"All",,"Skype for Business for iOS",,""
"Join",,"Teilnehmen",,"None",,"All",,"Skype for Business for iOS",,""
"Show keyboard",,"Tastatur anzeigen",,"None",,"All",,"Skype for Business for iOS",,""
"Launch",,"Starten",,"None",,"All",,"Skype for Business for iOS",,""
"You have 1 new voice mail",,"Sie haben 1 neue Voicemail.",,"None",,"All",,"Skype for Business for iOS",,""
"1 or more participants",,"1 oder mehr Teilnehmer",,"None",,"All",,"Skype for Business for iOS",,""
"You can't make a Skype for Business call because you're not connected to Wi-Fi.",,"Sie können keinen Skype for Business-Anruf führen, da keine WLAN-Verbindung besteht.",,"None",,"All",,"Skype for Business for iOS",,""
"© 2003-2016 Skype & Microsoft\nPatent Pending",,"© 2003–2016 Skype & Microsoft\nPatent angemeldet",,"None",,"All",,"Skype for Business for iOS",,""
"The Skype name, associated trade marks and logos and the “S” logo are trade marks of Skype or related entities.\n\nWarning: This program is protected by copyright law and international treaties. Unauthorised reproduction or distribution of this program, or any portion of it, may result in severe criminal and civil penalties and will be prosecuted to the maximum extent possible under the law.",,"Der Name „Skype“, damit verbundene Marken und Logos sowie das „S“-Logo sind Marken von Skype und seinen Partnerunternehmen.\n\nAchtung: Dieses Programm ist durch Urheberrechtsgesetze und Bestimmungen internationaler Verträge geschützt. Unbefugte Vervielfältigung oder unbefugter Vertrieb dieses Programms oder eines Teils davon sind strafbar. Dies wird sowohl straf- als auch zivilrechtlich verfolgt und kann schwere Strafen und Schadenersatzforderungen zur Folge haben.",,"None",,"All",,"Skype for Business for iOS",,""
"admit",,"Zulassen",,"None",,"All",,"Skype for Business for iOS",,""
"admit %@",,"%@ zulassen",,"None",,"All",,"Skype for Business for iOS",,""
"Allow %@ to join the meeting.",,"Zulassen, dass %@ an der Besprechung teilnimmt.",,"None",,"All",,"Skype for Business for iOS",,""
"call",,"Anrufen",,"None",,"All",,"Skype for Business for iOS",,""
"video call",,"Videoanruf",,"None",,"All",,"Skype for Business for iOS",,""
"dismiss %@",,"%@ ablehnen",,"None",,"All",,"Skype for Business for iOS",,""
"Deny %@ from joining the meeting.",,"%@ die Teilnahme an der Besprechung verweigern.",,"None",,"All",,"Skype for Business for iOS",,""
"Empty chat",,"Leerer Chat",,"None",,"All",,"Skype for Business for iOS",,""
"Join meeting",,"An Besprechung teilnehmen",,"None",,"All",,"Skype for Business for iOS",,""
"Profile picture",,"Profilbild",,"None",,"All",,"Skype for Business for iOS",,""
"available",,"Verfügbar",,"None",,"All",,"Skype for Business for iOS",,""
"away",,"Abwesend",,"None",,"All",,"Skype for Business for iOS",,""
"busy",,"Beschäftigt",,"None",,"All",,"Skype for Business for iOS",,""
"do not disturb",,"Nicht stören",,"None",,"All",,"Skype for Business for iOS",,""
"offline",,"Offline",,"None",,"All",,"Skype for Business for iOS",,""
"presence unknown",,"Anwesenheitsstatus nicht bekannt",,"None",,"All",,"Skype for Business for iOS",,""
"%@, new messages, %@, %@",,"%@, neue Nachrichten, %@, %@",,"None",,"All",,"Skype for Business for iOS",,""
"Search for contacts",,"Suche nach Kontakten",,"None",,"All",,"Skype for Business for iOS",,""
"clear text",,"Text löschen",,"None",,"All",,"Skype for Business for iOS",,""
"contacts",,"Kontakte",,"None",,"All",,"Skype for Business for iOS",,""
"dialpad and voice mail",,"Wähltastatur und Voicemail",,"None",,"All",,"Skype for Business for iOS",,""
"dialpad, %ld new voice mail",,"Wähltastatur, %ld neue Voicemail",,"None",,"All",,"Skype for Business for iOS",,""
"dialpad, %ld new voice mails",,"Wähltastatur, %ld neue Voicemails",,"None",,"All",,"Skype for Business for iOS",,""
"home",,"Home",,"None",,"All",,"Skype for Business for iOS",,""
"meetings",,"Besprechungen",,"None",,"All",,"Skype for Business for iOS",,""
"my info",,"Mein Profil",,"None",,"All",,"Skype for Business for iOS",,""
"delete",,"Löschen",,"None",,"All",,"Skype for Business for iOS",,""
"join meeting",,"An Besprechung teilnehmen",,"None",,"All",,"Skype for Business for iOS",,""
"mark as read",,"Als gelesen markieren",,"None",,"All",,"Skype for Business for iOS",,""
"video call",,"Videoanruf tätigen",,"None",,"All",,"Skype for Business for iOS",,""
"%ld new voice mail",,"%ld neue Voicemail",,"None",,"All",,"Skype for Business for iOS",,""
"%ld new voice mails",,"%ld neue Voicemails",,"None",,"All",,"Skype for Business for iOS",,""
"Currently muted, double-tap to unmute",,"Derzeit stummgeschaltet, zum Aufheben doppeltippen",,"None",,"All",,"Skype for Business for iOS",,""
"Poor network connection",,"Schlechte Netzwerkverbindung",,"None",,"All",,"Skype for Business for iOS",,""
"Call me back for better connection",,"Rückruf, um die Verbindungsqualität zu verbessern",,"None",,"All",,"Skype for Business for iOS",,""
"Currently unmuted, double-tap to mute",,"Derzeit nicht stummgeschaltet, zum Stummschalten doppeltippen",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to expand",,"Zum Erweitern doppeltippen",,"None",,"All",,"Skype for Business for iOS",,""
"%1$02ld:%2$02ld:%3$02ld",,"%1$02ld:%2$02ld:%3$02ld",,"None",,"All",,"Skype for Business for iOS",,""
"%1$02ld:%2$02ld",,"%1$02ld:%2$02ld",,"None",,"All",,"Skype for Business for iOS",,""
"About",,"Info",,"None",,"All",,"Skype for Business for iOS",,""
"Version %@",,"Version %@",,"None",,"All",,"Skype for Business for iOS",,""
"Accepted",,"Angenommen",,"None",,"All",,"Skype for Business for iOS",,""
"The access to the distribution group was denied",,"Der Zugriff auf die Verteilergruppe wurde verweigert.",,"None",,"All",,"Skype for Business for iOS",,""
"Please Try Again",,"Bitte erneut versuchen",,"None",,"All",,"Skype for Business for iOS",,""
"Oregon Speakerphone Update Failed",,"Fehler beim Aktualisieren von „Oregon Speakerphone“",,"None",,"All",,"Skype for Business for iOS",,""
"Would you like to update Oregon Speakerphone?",,"Möchten Sie „Oregon Speakerphone“ aktualisieren?",,"None",,"All",,"Skype for Business for iOS",,""
"Accessory Update Available",,"Zubehör-Update verfügbar",,"None",,"All",,"Skype for Business for iOS",,""
"Add",,"Hinzufügen",,"None",,"All",,"Skype for Business for iOS",,""
"Add Contact",,"Kontakt hinzufügen",,"None",,"All",,"Skype for Business for iOS",,""
"Added to group, %@",,"Zur Gruppe hinzugefügt, %@",,"None",,"All",,"Skype for Business for iOS",,""
"Add to Group",,"Zu Gruppe hinzufügen",,"None",,"All",,"Skype for Business for iOS",,""
"Add to favorites",,"Zu Favoriten hinzufügen",,"None",,"All",,"Skype for Business for iOS",,""
"Admit",,"Zulassen",,"None",,"All",,"Skype for Business for iOS",,""
"Admit all",,"Alle zulassen",,"None",,"All",,"Skype for Business for iOS",,""
"You’ve been admitted. We’re calling you now...",,"Sie wurden zugelassen. Wir rufen Sie jetzt an...",,"None",,"All",,"Skype for Business for iOS",,""
"Advanced options",,"Erweiterte Optionen",,"None",,"All",,"Skype for Business for iOS",,""
"All",,"Alle",,"None",,"All",,"Skype for Business for iOS",,""
"All the Time",,"Immer",,"None",,"All",,"Skype for Business for iOS",,""
"Allow incoming cellular call when Wi-Fi is not available",,"Eingehende Mobilfunkanrufe zulassen, wenn kein WLAN verfügbar ist",,"None",,"All",,"Skype for Business for iOS",,""
"Also ringing %@",,"Bei %@ wird ebenfalls angerufen.",,"None",,"All",,"Skype for Business for iOS",,""
"Also ringing your delegates",,"Ihre Stellvertretungen werden ebenfalls angerufen.",,"None",,"All",,"Skype for Business for iOS",,""
"Also ringing your team",,"Ihr Team wird ebenfalls angerufen.",,"None",,"All",,"Skype for Business for iOS",,""
"Anonymous",,"Anonym",,"None",,"All",,"Skype for Business for iOS",,""
"Anonymous Join",,"Anonyme Teilnahme",,"None",,"All",,"Skype for Business for iOS",,""
"Go back",,"Zurück",,"None",,"All",,"Skype for Business for iOS",,""
"Joining...",,"Teilnehmen...",,"None",,"All",,"Skype for Business for iOS",,""
"Welcome to Skype for Business, the app formerly known as Lync.",,"Willkommen bei Skype for Business, ehemals bekannt als Lync.",,"None",,"All",,"Skype for Business for iOS",,""
"Video",,"Video",,"None",,"All",,"Skype for Business for iOS",,""
"Answer incoming call",,"Eingehenden Anruf annehmen",,"None",,"All",,"Skype for Business for iOS",,""
"Answer incoming call to listen to the voicemail.",,"Beantworten Sie den eingehenden Anruf, um die Voicemail abzuhören.",,"None",,"All",,"Skype for Business for iOS",,""
"All resources are minimized.",,"Alle Ressourcen sind minimiert.",,"None",,"All",,"Skype for Business for iOS",,""
"Application",,"Anwendung",,"None",,"All",,"Skype for Business for iOS",,""
"Desktop",,"Desktop",,"None",,"All",,"Skype for Business for iOS",,""
"Content sharing is loading.",,"Die Inhaltsfreigabe wird geladen.",,"None",,"All",,"Skype for Business for iOS",,""
"The resolution of the shared desktop is too high to be displayed on a mobile device",,"Die Auflösung des freigegebenen Desktops ist zu hoch und kann auf einem Mobilgerät nicht dargestellt werden",,"None",,"All",,"Skype for Business for iOS",,""
"Shared content.",,"Freigegebener Inhalt.",,"None",,"All",,"Skype for Business for iOS",,""
"Sharing is currently idle.",,"Freigabe wird aktuell im Leerlauf ausgeführt.",,"None",,"All",,"Skype for Business for iOS",,""
"Sharing is currently paused.",,"Freigabe ist aktuell angehalten.",,"None",,"All",,"Skype for Business for iOS",,""
"Screen presentation from %@ is only supported in conferences.",,"Die Bildschirmpräsentation von %@ wird nur in Konferenzanrufen unterstützt.",,"None",,"All",,"Skype for Business for iOS",,""
"Appear Away",,"Als abwesend anzeigen",,"None",,"All",,"Skype for Business for iOS",,""
"Apply Settings",,"Einstellungen anwenden",,"None",,"All",,"Skype for Business for iOS",,""
"ATTENDEES (%d)",,"TEILNEHMER (%d)",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter muted the audience.",,"Ein Referent hat alle anderen Personen stumm geschaltet.",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter unmuted the audience.",,"Ein Referent hat die Stummschaltung aller anderen Personen aufgehoben.",,"None",,"All",,"Skype for Business for iOS",,""
"Audio",,"Audio",,"None",,"All",,"Skype for Business for iOS",,""
"Call",,"Furna",,"None",,"All",,"Skype for Business for iOS",,""
"Call from %@",,"Anruf von %@",,"None",,"All",,"Skype for Business for iOS",,""
"Call me at:",,"Anruf unter:",,"None",,"All",,"Skype for Business for iOS",,""
"Don't show this again",,"Diese Meldung nicht mehr anzeigen",,"None",,"All",,"Skype for Business for iOS",,""
"Show meeting audio options before joining a meeting.",,"Besprechungsaudiooptionen vor der Teilnahme an einer Besprechung anzeigen.",,"None",,"All",,"Skype for Business for iOS",,""
"Audio Options Prompt",,"Eingabeaufforderung für Audiooptionen",,"None",,"All",,"Skype for Business for iOS",,""
"Meeting Join Audio Option",,"Audiooption Besprechungsteilnahme",,"None",,"All",,"Skype for Business for iOS",,""
"Use Skype For Business (full audio and video experience)",,"Skype for Business verwenden (umfassende Audio- und Videoerfahrung)",,"None",,"All",,"Skype for Business for iOS",,""
"Use Skype For Business (disabled due to 'Voice Settings')",,"Skype for Business verwenden (aufgrund von „Sprachanrufeinstellungen“ deaktiviert)",,"None",,"All",,"Skype for Business for iOS",,""
"Conference call from %@",,"Konferenzanruf von %@",,"None",,"All",,"Skype for Business for iOS",,""
"Resume your meeting if media content is disconnected.",,"Setzen Sie die Besprechung fort, wenn Medieninhalte getrennt werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Automatically Rejoin meeting",,"Automatisch erneut an Besprechung teilnehmen",,"None",,"All",,"Skype for Business for iOS",,""
"Auto-Detect Server",,"Server-AutoErkennung",,"None",,"All",,"Skype for Business for iOS",,""
"We are trying to reconnect your call.",,"Wir versuchen, Ihren Anruf erneut zu verbinden.",,"None",,"All",,"Skype for Business for iOS",,""
"Available",,"Verfügbar",,"None",,"All",,"Skype for Business for iOS",,""
"Away",,"Abwesend",,"None",,"All",,"Skype for Business for iOS",,""
"Back",,"Zurück",,"None",,"All",,"Skype for Business for iOS",,""
"Be Right Back",,"Bin gleich zurück",,"None",,"All",,"Skype for Business for iOS",,""
"Blocked",,"Blockiert",,"None",,"All",,"Skype for Business for iOS",,""
"Busy",,"Beschäftigt",,"None",,"All",,"Skype for Business for iOS",,""
"Busy Inactive",,"Beschäftigt (inaktiv)",,"None",,"All",,"Skype for Business for iOS",,""
"Learn More",,"Mehr Info",,"None",,"All",,"Skype for Business for iOS",,""
"Help Skype for Business be even better by sending anonymous usage data to Microsoft.",,"Helfen Sie, Skype for Business weiter zu verbessern, indem Sie das Senden anonymer Nutzungsdaten an Microsoft zulassen.",,"None",,"All",,"Skype for Business for iOS",,""
"Hide chat",,"Chat ausblenden",,"None",,"All",,"Skype for Business for iOS",,""
"Hide sidebar",,"Seitenleiste verbergen",,"None",,"All",,"Skype for Business for iOS",,""
"%lu participants - %@",,"%lu Teilnehmer - %@",,"None",,"All",,"Skype for Business for iOS",,""
"%lu participant - %@",,"%lu Teilnehmer - %@",,"None",,"All",,"Skype for Business for iOS",,""
"Show chat",,"Chat anzeigen",,"None",,"All",,"Skype for Business for iOS",,""
"Show sidebar",,"Seitenleiste anzeigen",,"None",,"All",,"Skype for Business for iOS",,""
"Conversation",,"Unterhaltung",,"None",,"All",,"Skype for Business for iOS",,""
"calendar",,"Kalender",,"None",,"All",,"Skype for Business for iOS",,""
"From %1$@ %2$@ %3$@",,"Von %2$@, %3$@ %1$@",,"None",,"All",,"Skype for Business for iOS",,""
"from %1$@ to %2$@",,"von %1$@ bis %2$@",,"None",,"All",,"Skype for Business for iOS",,""
